Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,1 Lane Right,2nd Lane,,7:14:05,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,7:14:20,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:15:11,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:15:12,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:15:20,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:15:21,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:15:35,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:15:36,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:15:47,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:15:48,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:15:50,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:15:57,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:15:58,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:16:00,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:16:15,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:16:16,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,7:16:21,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,7:17:22,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,7:17:23,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,7:17:24,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:17:25,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:18:39,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:18:40,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,7:18:41,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:18:42,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:19:00,Moderate (34 - 80 %),,,
Passenger,Wait,1st Lane,,7:19:01,Moderate (34 - 80 %),,,
Passenger,Load,1st Lane,,7:19:02,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:19:03,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,7:19:42,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,7:19:43,Moderate (34 - 80 %),,,
