Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Vehicle,1 Lane Left,4th Lane,,13:30:12,Moderate (34 - 80 %),,,less cars,,
Vehicle,1 Lane Right,1st Lane,,13:30:28,Moderate (34 - 80 %),,,drop off passenger,,"narrower road, becomes 1st lane"
Vehicle,Stop,1st Lane,,13:30:35,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:30:36,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,Sudden Acceleration,13:30:40,Moderate (34 - 80 %),40km/h,speed up because they are stalling traffic from drop off,,,
Vehicle,1 Lane Left,2nd Lane,,13:31:18,Moderate (34 - 80 %),,,slow car in front,,
Vehicle,1 Lane Right,1st Lane,,13:31:54,Moderate (34 - 80 %),,,passenger found,,
Vehicle,Stop,1st Lane,,13:32:04,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:32:06,Moderate (34 - 80 %),,,,16,
Vehicle,Go,1st Lane,,13:32:10,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:32:22,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:32:24,Moderate (34 - 80 %),,,,19,
Vehicle,Go,1st Lane,Sudden Acceleration,13:32:31,Moderate (34 - 80 %),20km/h,speed up because they are stalling traffic from loading,,,
Vehicle,Stop,1st Lane,,13:33:02,Moderate (34 - 80 %),,,,,traffic; Legarda
Vehicle,Go,1st Lane,,13:33:28,Moderate (34 - 80 %),6km/h,,,,
Vehicle,Stop,1st Lane,,13:33:50,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,13:33:57,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:34:07,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,13:35:04,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:35:43,Moderate (34 - 80 %),,jeep in front stopped to load,,,
Vehicle,Go,1st Lane,,13:35:50,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:36:31,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:38:18,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:38:49,Moderate (34 - 80 %),,,,,pedestrian crossing
Vehicle,Go,1st Lane,,13:39:00,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:39:20,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:39:21,Moderate (34 - 80 %),,,,17,
Vehicle,Go,1st Lane,,13:39:25,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:40:38,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:40:39,Moderate (34 - 80 %),,,,16,
Vehicle,Go,1st Lane,,13:40:43,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:40:49,Moderate (34 - 80 %),,,parked vehicles in road,,
Vehicle,1 Lane Right,1st Lane,,13:40:53,Moderate (34 - 80 %),,,return to previous lane,,
Vehicle,Stop,1st Lane,,13:41:07,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,13:41:09,Low (0 - 33 %),,,,0,end of line
Passenger,Wait,1st Lane,,13:41:55,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,13:42:25,Low (0 - 33 %),,,,3,
Vehicle,Go,1st Lane,,13:43:26,Low (0 - 33 %),,,,,jeep in front moved
Vehicle,Stop,1st Lane,,13:43:35,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,13:43:42,Low (0 - 33 %),,,,8,
Passenger,Wait,1st Lane,,13:43:50,Low (0 - 33 %),,,,,
Passenger,Load,1st Lane,,13:54:39,Moderate (34 - 80 %),,,,11,
Vehicle,Go,1st Lane,,13:57:03,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:57:05,Moderate (34 - 80 %),,,overtake parked jeep,,
Vehicle,Stop,2nd Lane,,13:57:11,Moderate (34 - 80 %),,,,,
Passenger,Load,2nd Lane,,13:57:13,Moderate (34 - 80 %),,,,12,
Vehicle,Go,2nd Lane,,13:57:20,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,13:57:31,Moderate (34 - 80 %),,,,,smaller road
Passenger,Wait,1st Lane,,13:57:32,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,13:57:42,Moderate (34 - 80 %),,,,15,quiapo market area 
Vehicle,Go,1st Lane,,13:58:09,Moderate (34 - 80 %),2km/h,"slow moving, looking for passengers",,,
Vehicle,Stop,1st Lane,,13:58:34,Moderate (34 - 80 %),,,,,intersection
Vehicle,Go,1st Lane,,13:58:56,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,13:59:03,Moderate (34 - 80 %),,,overtake parked car,,
Vehicle,1 Lane Right,1st Lane,,13:59:09,Moderate (34 - 80 %),24km/h,,,,
Vehicle,Stop,1st Lane,,13:59:25,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,13:59:32,Moderate (34 - 80 %),,,,,
